대표날짜,코스명,설명,단계
2026-02-20,노들역 출발 코스,노들역에서 출발해 동작대교와 반포대교(잠수교)를 건너 다시 노들역으로 돌아옵니다. 한강을 따라 시원하게 달릴 수 있는 코스라 좋아합니다.,
2026-03-21,일산 호수공원,,
2026-04-05,더 레이스 서울,10km 대회 코스. 서울 도심 청계천을 따라 달립니다.,
2026-05-16,성북-중랑-한강 코스,동네에서 시작해 중랑천을 따라 한강까지 내려가는 코스입니다.,
2026-06-03,보라매공원 — 도림천 — 신도림,"보라매공원에서 출발해 갈수록 멀리 다녀오는 코스입니다. 공원이 크고 나무가 많아 달릴 때 기분이 좋아집니다.",보라매공원 루프|+ 도림천|+ 신도림
2026-07-24,성북천 이지런,성신여대에서 청계천으로 갈라지기 직전까지 달립니다. 길이는 짧은데 긴 느낌이 드는 천 코스입니다.,
2026-07-26,마장동 코스,,
2026-08-23,동네에서 광화문까지,"청계천을 따라 서울 중심부까지 달려 광화문의 원뿔 조형물에서 돌아옵니다. 동네에서 시작하면 7km 정도. 그늘이 거의 없어 더운 코스지만 도심 한복판을 달리는 즐거움이 있습니다. 비둘기가 많아 잘 피해야 합니다.",
2026-08-29,성북천 — 마장동 코스,성북천에서 짧게 존2 훈련을 하다가 갈수록 멀리 마장동까지 다녀오는 코스입니다. 밤에 뛰면 시원해서 좋습니다.,성북천 이지런|+ 마장동 코스
